MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A10.165.114	Adipose Tissue	Tissues	Connective Tissue	4.89e-04	<0.01	EBF2 (4.5)	CALB2 (3.2)	CDKN2C (3.1)	FBLN2 (2.9)	DMRT2 (2.9)	ENSG00000237887 (2.7)	SPTBN1 (2.4)	MFAP4 (2.2)	ENSG00000228536 (2.1)	ENPP2 (2.0)
A11.329.629	Osteoblasts	Cells	Connective Tissue Cells	5.07e-04	<0.01	AAGAB (3.2)	TGFB2 (2.9)	COL8A1 (2.8)	THBS2 (2.7)	SMURF2 (2.3)	LTBP1 (2.3)	EFEMP1 (2.2)	ELN (2.1)	ANAPC13 (2.0)	MSRB3 (1.9)
A05.360.319.679.690	Myometrium	Urogenital System	Genitalia	5.77e-04	<0.01	WT1 (4.4)	WT1-AS (4.0)	SLMAP (3.9)	ENSG00000229619 (3.4)	LTBP4 (2.9)	MFAP4 (2.5)	CALD1 (2.5)	SLC22A3 (2.5)	CRISPLD2 (2.3)	ENSG00000256731 (2.3)
A11.329.171	Chondrocytes	Cells	Connective Tissue Cells	1.25e-03	<0.01	WBSCR28 (4.7)	COL8A1 (4.5)	GDF5 (3.6)	ELN (3.4)	CDKN2C (2.4)	TSSK1B (2.3)	EFEMP1 (2.1)	ENSG00000224849 (2.0)	ADAMTS6 (2.0)	TGFB2 (1.7)
A10.165.114.830	Adipose Tissue  White	Tissues	Connective Tissue	1.31e-03	<0.01	EBF2 (4.5)	CALB2 (3.4)	CDKN2C (3.4)	DMRT2 (3.3)	FBLN2 (3.1)	ENSG00000237887 (2.9)	SPTBN1 (2.7)	MFAP4 (2.3)	ENSG00000228536 (2.2)	ENPP2 (2.1)
A10.165.114.830.750	Subcutaneous Fat	Tissues	Connective Tissue	1.31e-03	<0.01	EBF2 (4.5)	CALB2 (3.4)	CDKN2C (3.4)	DMRT2 (3.3)	FBLN2 (3.1)	ENSG00000237887 (2.9)	SPTBN1 (2.7)	MFAP4 (2.3)	ENSG00000228536 (2.2)	ENPP2 (2.1)
A10.615.789	Serous Membrane	Tissues	Membranes	1.49e-03	<0.01	WT1 (2.5)	EBF2 (1.8)	ENSG00000237887 (1.6)	ADAMTS16 (1.5)	THBS2 (1.4)	WT1-AS (1.4)	CALD1 (1.3)	ENSG00000249521 (1.3)	KIAA0947 (1.2)	ADCY3 (1.1)
A10.165.114.830.500	Abdominal Fat	Tissues	Connective Tissue	2.62e-03	<0.01	EBF2 (4.3)	CALB2 (3.7)	CDKN2C (3.6)	DMRT2 (3.2)	FBLN2 (3.0)	ENSG00000237887 (2.9)	SPTBN1 (2.9)	ENSG00000228536 (2.4)	NAT8L (2.4)	ENPP2 (2.1)
A10.165.114.830.500.750	Subcutaneous Fat  Abdominal	Tissues	Connective Tissue	2.62e-03	<0.01	EBF2 (4.3)	CALB2 (3.7)	CDKN2C (3.6)	DMRT2 (3.2)	FBLN2 (3.0)	ENSG00000237887 (2.9)	SPTBN1 (2.9)	ENSG00000228536 (2.4)	NAT8L (2.4)	ENPP2 (2.1)
A02.165	Cartilage	Musculoskeletal System	Cartilage	3.14e-03	<0.01	ENSG00000228536 (5.3)	TGFB2 (3.9)	BMP6 (3.7)	ELN (3.1)	LTBP4 (3.1)	SMAD3 (2.8)	ARHGEF2 (2.4)	ENSG00000249521 (2.3)	ENSG00000224849 (2.2)	ADCY3 (2.1)
A05.360	Genitalia	Urogenital System	Genitalia	4.15e-03	<0.01	WT1 (2.1)	KIAA0907 (1.6)	CLDN3 (1.5)	WT1-AS (1.5)	ENSG00000247225 (1.1)	CRISPLD2 (1.0)	MSX1 (1.0)	MIA3 (1.0)	CALD1 (1.0)	ENSG00000256731 (0.8)
A02.835.232.834.151	Cervical Vertebrae	Musculoskeletal System	Skeleton	4.31e-03	<0.01	CWC27 (1.7)	C10orf140 (1.5)	MCPH1 (1.5)	RRP15 (1.3)	SMURF2 (1.3)	C2orf69 (1.2)	FIP1L1 (1.2)	SMARCAL1 (1.2)	C3orf26 (1.2)	DLEU1 (1.1)
A02.835.232.834	Spine	Musculoskeletal System	Skeleton	4.34e-03	<0.01	CWC27 (1.7)	C10orf140 (1.5)	MCPH1 (1.5)	RRP15 (1.3)	SMURF2 (1.3)	SMARCAL1 (1.2)	C2orf69 (1.2)	FIP1L1 (1.2)	C3orf26 (1.1)	GDF5 (1.1)
A07.231.114	Arteries	Cardiovascular System	Blood Vessels	4.65e-03	<0.01	LTBP1 (2.3)	ENSG00000256731 (2.2)	HS1BP3 (2.1)	SPSB1 (2.0)	EFEMP1 (1.9)	ENSG00000229619 (1.7)	C6orf195 (1.7)	FOXP1 (1.7)	COL8A1 (1.6)	MSRB3 (1.6)
A05.360.319	Genitalia  Female	Urogenital System	Genitalia	5.73e-03	<0.01	WT1 (2.9)	WT1-AS (2.4)	KIAA0907 (1.8)	CLDN3 (1.7)	MSX1 (1.3)	ABHD11 (1.2)	ENSG00000247225 (1.0)	SSR2 (0.9)	CALD1 (0.9)	ZFP36L2 (0.9)
A11.620	Muscle Cells	Cells	Muscle Cells	6.05e-03	<0.01	ELN (5.6)	GDF5 (3.5)	COL8A1 (2.7)	SMAD3 (2.6)	EBF2 (2.3)	MSRB3 (2.3)	SMURF2 (2.3)	TGFB2 (2.2)	THBS2 (2.1)	ENSG00000215231 (2.1)
A11.620.520	Myocytes  Smooth Muscle	Cells	Muscle Cells	6.05e-03	<0.01	ELN (5.6)	GDF5 (3.5)	COL8A1 (2.7)	SMAD3 (2.6)	EBF2 (2.3)	MSRB3 (2.3)	SMURF2 (2.3)	TGFB2 (2.2)	THBS2 (2.1)	ENSG00000215231 (2.1)
A05.360.319.679	Uterus	Urogenital System	Genitalia	6.49e-03	<0.01	MSX1 (3.0)	WT1 (2.2)	WT1-AS (1.7)	ENSG00000247225 (1.5)	CLDN3 (1.4)	KIAA0907 (1.3)	SSR2 (1.2)	VCAN (1.1)	LTBP4 (1.1)	PALLD (1.1)
A11.872.190.260	Embryoid Bodies	Cells	Stem Cells	8.14e-03	<0.05	GDF5 (3.4)	TGFB2 (3.4)	WBSCR27 (2.3)	ADAMTS6 (2.2)	COL8A1 (1.8)	VCAN (1.7)	LTBP1 (1.7)	MCC (1.6)	LTBP4 (1.6)	TSSK1B (1.6)
A07.231	Blood Vessels	Cardiovascular System	Blood Vessels	9.43e-03	<0.05	BMP6 (2.6)	ADAMTS6 (2.4)	SMURF2 (2.3)	SMAD3 (2.2)	HS1BP3 (2.1)	COL8A1 (2.1)	EFEMP1 (2.0)	SPSB1 (1.8)	MSRB3 (1.6)	TGFB2 (1.6)
A07.541.510	Heart Valves	Cardiovascular System	Heart	0.01	<0.05	FBLN2 (3.1)	LTBP1 (3.1)	AIDA (2.8)	EFEMP1 (2.3)	VCAN (2.3)	ENSG00000237887 (2.3)	THBS2 (2.2)	LTBP4 (2.2)	MFAP4 (2.2)	COL24A1 (2.1)
A07.541.510.110	Aortic Valve	Cardiovascular System	Heart	0.01	<0.05	FBLN2 (3.1)	LTBP1 (3.1)	AIDA (2.8)	EFEMP1 (2.3)	VCAN (2.3)	ENSG00000237887 (2.3)	THBS2 (2.2)	LTBP4 (2.2)	MFAP4 (2.2)	COL24A1 (2.1)
A05.360.444.492	Penis	Urogenital System	Genitalia	0.01	<0.05	TWIST2 (2.6)	FAM83B (2.6)	TBC1D23 (1.9)	C10orf140 (1.5)	ADAMTS6 (1.5)	APOB (1.4)	THBS2 (1.4)	ZNHIT6 (1.3)	CWC27 (1.3)	MCC (1.3)
A05.360.319.679.490	Endometrium	Urogenital System	Genitalia	0.02	<0.05	MSX1 (3.9)	WT1 (2.6)	ENSG00000247225 (2.2)	CLDN3 (1.9)	WT1-AS (1.7)	SSR2 (1.3)	LTBP4 (1.3)	VCAN (1.3)	CSRP2 (1.2)	ABHD11 (1.2)
A05.360.444.492.362	Foreskin	Urogenital System	Genitalia	0.02	<0.20	TWIST2 (2.7)	FAM83B (2.7)	TBC1D23 (2.1)	C10orf140 (1.6)	APOB (1.5)	ADAMTS6 (1.5)	ZNHIT6 (1.4)	THBS2 (1.4)	CWC27 (1.4)	PDE12 (1.3)
A11.872	Stem Cells	Cells	Stem Cells	0.02	<0.20	MCPH1 (1.7)	CWC27 (1.4)	RRP15 (1.3)	TYW5 (1.3)	FIP1L1 (1.3)	PNPT1 (1.3)	MLLT10 (1.2)	C3orf26 (1.2)	CAMKMT (1.2)	C10orf140 (1.1)
A06.407.312	Gonads	Endocrine System	Endocrine Glands	0.02	<0.20	WT1 (3.6)	WT1-AS (3.1)	KIAA0907 (2.2)	CLDN3 (1.9)	ABHD11 (1.4)	ENSG00000254560 (1.3)	KIAA0947 (1.1)	UQCC (1.0)	UBQLN4 (0.9)	AIG1 (0.9)
A05.360.319.114.630	Ovary	Urogenital System	Genitalia	0.02	<0.20	WT1 (3.6)	WT1-AS (3.1)	KIAA0907 (2.3)	CLDN3 (2.1)	ABHD11 (1.6)	ENSG00000254560 (1.3)	UQCC (1.1)	KIAA0947 (1.1)	UBQLN4 (0.9)	ZFP36L2 (0.9)
A06.407	Endocrine Glands	Endocrine System	Endocrine Glands	0.02	<0.20	WT1 (2.7)	WT1-AS (2.3)	KIAA0907 (1.8)	CLDN3 (1.6)	ABHD11 (1.3)	KIAA0947 (1.0)	ENSG00000254560 (1.0)	UQCC (1.0)	CYP11A1 (0.9)	AIG1 (0.9)
A05.360.319.114	Adnexa Uteri	Urogenital System	Genitalia	0.02	<0.20	WT1 (3.6)	WT1-AS (3.1)	KIAA0907 (2.3)	CLDN3 (2.1)	ABHD11 (1.6)	ENSG00000254560 (1.3)	UQCC (1.1)	KIAA0947 (1.1)	UBQLN4 (0.9)	ZFP36L2 (0.9)
A15.145.846	Serum	Hemic and Immune Systems	Blood	0.02	<0.20	BMP6 (2.3)	SMURF2 (2.3)	SMAD3 (2.1)	WBSCR27 (2.0)	MSRB3 (1.8)	TWIST2 (1.8)	SPSB1 (1.8)	LIMK1 (1.7)	ELN (1.7)	HS1BP3 (1.6)
A05.360.319.887	Vulva	Urogenital System	Genitalia	0.02	<0.20	ENSG00000256731 (3.0)	FAM83B (2.7)	LTBP4 (1.7)	CSRP2 (1.7)	MCC (1.6)	MFAP4 (1.6)	CRISPLD2 (1.4)	FBLN2 (1.4)	THBS2 (1.4)	ZFP36L2 (1.3)
A05.360.319.114.373	Fallopian Tubes	Urogenital System	Genitalia	0.02	<0.20	WT1 (4.9)	WT1-AS (4.2)	KIAA0907 (2.7)	CLDN3 (2.6)	ABHD11 (2.1)	ENSG00000254560 (1.8)	PNPT1 (1.6)	UQCC (1.4)	ZFP36L2 (1.3)	THADA (1.2)
A05.810.890	Urinary Bladder	Urogenital System	Urinary Tract	0.03	<0.20	ENSG00000254560 (2.3)	CLDN4 (1.5)	KIAA0947 (1.2)	KIAA0907 (1.2)	ZFP36L2 (1.1)	FAM83B (1.1)	THBS2 (1.1)	FAM177B (1.1)	CRISPLD2 (1.1)	ADCY3 (1.0)
A10.690	Muscles	Tissues	Muscles	0.03	<0.20	ENSG00000229619 (4.1)	FAF1 (2.9)	FILIP1L (2.8)	SLMAP (2.6)	C6orf195 (2.6)	HMCN2 (2.5)	UQCC (2.2)	MSRB3 (2.2)	KY (2.1)	ENSG00000256731 (1.9)
A17.815	Skin	Integumentary System	Skin	0.03	<0.20	FAM83B (3.7)	MCC (1.9)	FBLN2 (1.8)	MFAP4 (1.5)	THBS2 (1.5)	SLC22A3 (1.4)	CRISPLD2 (1.4)	C2orf69 (1.2)	ENSG00000256731 (1.1)	ZFP36L2 (1.0)
A11.329	Connective Tissue Cells	Cells	Connective Tissue Cells	0.04	<0.20	TWIST2 (1.9)	LIMK1 (1.6)	ZNF438 (1.3)	RIT1 (1.0)	ADCY3 (1.0)	ARHGEF2 (0.9)	SMARCAL1 (0.9)	FIP1L1 (0.9)	CHIC2 (0.8)	ENSG00000228536 (0.8)
A07.231.908	Veins	Cardiovascular System	Blood Vessels	0.05	<0.20	BMP6 (3.6)	ADAMTS6 (2.7)	SMURF2 (2.4)	SMAD3 (2.4)	HS1BP3 (2.3)	EFEMP1 (2.2)	COL8A1 (2.2)	SPSB1 (2.1)	TGFB2 (1.9)	PRKCE (1.7)
A05.360.444	Genitalia  Male	Urogenital System	Genitalia	0.05	<0.20	SLC22A3 (2.6)	ENSG00000256731 (2.4)	C10orf140 (2.2)	MIA3 (2.0)	CRISPLD2 (1.8)	TGFB2 (1.8)	SLMAP (1.8)	PDE12 (1.7)	IQCH (1.7)	ZNHIT6 (1.6)
A03.556.249.124	Ileum	Digestive System	Gastrointestinal Tract	0.06	<0.20	APOB (4.6)	MUC13 (4.3)	LTBP4 (2.7)	CLDN3 (2.4)	ZFP36L2 (2.1)	FAM177B (2.0)	CLDN4 (1.8)	HMCN2 (1.8)	TSSK1B (1.6)	MFAP4 (1.4)
A07.231.908.670.874	Umbilical Veins	Cardiovascular System	Blood Vessels	0.06	<0.20	BMP6 (3.9)	ADAMTS6 (2.9)	SMURF2 (2.7)	SMAD3 (2.5)	COL8A1 (2.3)	HS1BP3 (2.3)	EFEMP1 (2.3)	SPSB1 (2.1)	TGFB2 (2.1)	YTHDC2 (1.8)
A07.231.908.670	Portal System	Cardiovascular System	Blood Vessels	0.06	<0.20	BMP6 (3.9)	ADAMTS6 (2.9)	SMURF2 (2.7)	SMAD3 (2.5)	COL8A1 (2.3)	HS1BP3 (2.3)	EFEMP1 (2.3)	SPSB1 (2.1)	TGFB2 (2.1)	YTHDC2 (1.8)
A03.734	Pancreas	Digestive System	Pancreas	0.07	<0.20	CRISPLD2 (1.2)	MUC13 (1.1)	SPATS2L (0.9)	CALD1 (0.9)	MFAP4 (0.9)	SSR2 (0.9)	HAND2 (0.9)	FILIP1L (0.9)	MIA3 (0.8)	CLDN4 (0.8)
A11.436.275	Endothelial Cells	Cells	Epithelial Cells	0.07	<0.20	BMP6 (3.0)	ADAMTS6 (2.8)	COL8A1 (2.7)	SMURF2 (2.4)	SMAD3 (1.9)	TGFB2 (1.7)	EFEMP1 (1.7)	CHIC2 (1.6)	SPSB1 (1.5)	PRKCE (1.5)
A07.541.358	Heart Atria	Cardiovascular System	Heart	0.08	>=0.20	SLMAP (4.0)	HAND2 (3.4)	ENSG00000238018 (2.7)	ANAPC13 (2.6)	LTBP1 (2.6)	LYPLAL1 (2.5)	CWC27 (2.3)	EBF2 (2.3)	C10orf140 (2.1)	MSRB3 (2.0)
A03.556.124.684	Intestine  Small	Digestive System	Gastrointestinal Tract	0.08	>=0.20	APOB (2.9)	MUC13 (2.8)	CLDN3 (1.6)	FAM177B (1.6)	ENSG00000223842 (1.6)	CLDN4 (1.4)	ZFP36L2 (1.3)	LTBP4 (1.2)	CRISPLD2 (1.1)	HMCN2 (1.0)
A10.336	Exocrine Glands	Tissues	Exocrine Glands	0.09	>=0.20	SLC22A3 (3.2)	ENSG00000256731 (2.9)	MIA3 (2.7)	CRISPLD2 (1.9)	TGFB2 (1.9)	C10orf140 (1.8)	SLMAP (1.8)	AFF3 (1.8)	CLDN3 (1.7)	ENSG00000247225 (1.6)
A07.541.358.100	Atrial Appendage	Cardiovascular System	Heart	0.09	>=0.20	SLMAP (4.2)	HAND2 (3.5)	ENSG00000238018 (3.0)	ANAPC13 (2.8)	LYPLAL1 (2.7)	LTBP1 (2.6)	CWC27 (2.5)	C10orf140 (2.3)	ENSG00000223842 (2.1)	RRP15 (2.1)
A10.336.707	Prostate	Tissues	Exocrine Glands	0.10	>=0.20	SLC22A3 (3.3)	ENSG00000256731 (3.0)	MIA3 (2.9)	TGFB2 (2.1)	CRISPLD2 (2.0)	SLMAP (2.0)	C10orf140 (2.0)	AFF3 (1.9)	AIG1 (1.8)	PDE12 (1.8)
A06.407.312.782	Testis	Endocrine System	Endocrine Glands	0.11	>=0.20	C10orf140 (6.0)	IQCH (4.8)	WT1-AS (3.8)	ADAMTS16 (3.4)	CYP11A1 (2.9)	ZNHIT6 (2.8)	WT1 (2.5)	PDE12 (2.4)	C2orf69 (2.2)	C10orf114 (2.2)
A03.556.500.760.464	Parotid Gland	Digestive System	Gastrointestinal Tract	0.12	>=0.20	LMX1B (3.0)	FAM177B (2.8)	POLN (2.5)	GDF5 (2.3)	TSSK1B (2.2)	SLC22A3 (2.1)	DUSP6 (2.0)	LPAL2 (1.8)	ENSG00000249521 (1.8)	ADCY3 (1.8)
A14.549.167	Dentition	Stomatognathic System	Mouth	0.13	>=0.20	MCC (2.3)	ENSG00000215231 (1.9)	ENSG00000249391 (1.7)	GDF5 (1.6)	FAM83B (1.6)	CSRP2 (1.6)	MSX1 (1.5)	C10orf114 (1.4)	SPSB1 (1.4)	TBC1D23 (1.3)
A03.556.249.249.356.668	Colon  Sigmoid	Digestive System	Gastrointestinal Tract	0.13	>=0.20	MUC13 (3.5)	CLDN3 (2.9)	CLDN4 (2.2)	ENSG00000223842 (2.2)	ENSG00000256731 (1.9)	ABHD11 (1.6)	AAGAB (1.5)	ZFP36L2 (1.4)	KIAA0947 (1.1)	ENSG00000249391 (1.0)
A10.615	Membranes	Tissues	Membranes	0.13	>=0.20	MUC13 (1.9)	CASC2 (1.5)	CLDN3 (1.4)	DNAH12 (1.3)	FAM83B (1.3)	CLDN4 (1.2)	CCDC33 (1.2)	SPSB1 (1.2)	DMRTA2 (1.1)	DMRT2 (1.0)
A10.165.450.300	Cicatrix	Tissues	Connective Tissue	0.15	>=0.20	TWIST2 (5.2)	ADAMTS6 (3.5)	COL8A1 (3.3)	ELN (3.0)	ENSG00000215231 (2.5)	FBLN2 (2.5)	CALD1 (2.4)	MSRB3 (2.4)	GDF5 (2.3)	THBS2 (2.3)
A10.165.450	Granulation Tissue	Tissues	Connective Tissue	0.15	>=0.20	TWIST2 (5.2)	ADAMTS6 (3.5)	COL8A1 (3.3)	ELN (3.0)	ENSG00000215231 (2.5)	FBLN2 (2.5)	CALD1 (2.4)	MSRB3 (2.4)	GDF5 (2.3)	THBS2 (2.3)
A03.734.414	Islets of Langerhans	Digestive System	Pancreas	0.16	>=0.20	FAM83B (3.2)	WBSCR27 (2.2)	ABHD11 (2.1)	TGFB2 (1.9)	SMAD3 (1.7)	ENSG00000254560 (1.7)	UQCC (1.5)	WBSCR28 (1.4)	PDE12 (1.4)	PNPT1 (1.3)
A04.411	Lung	Respiratory System	Lung	0.16	>=0.20	SMURF2 (1.2)	SLC22A3 (1.1)	ENSG00000256731 (1.0)	MFAP4 (0.8)	VCAN (0.7)	DUSP6 (0.7)	SSR2 (0.7)	PNPT1 (0.7)	FTSJD1 (0.5)	MLLT10 (0.5)
A03.556.249	Lower Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.16	>=0.20	MUC13 (3.5)	CLDN3 (2.7)	ABHD11 (2.0)	CLDN4 (2.0)	ZFP36L2 (1.3)	ENSG00000256731 (1.3)	ENSG00000223842 (1.2)	CRISPLD2 (0.9)	FILIP1L (0.9)	UQCC (0.9)
A07.541	Heart	Cardiovascular System	Heart	0.17	>=0.20	SLMAP (4.5)	LTBP4 (3.1)	LYPLAL1 (3.1)	SPTBN1 (2.6)	FAF1 (2.5)	EBF2 (2.4)	WT1-AS (2.4)	MSRB3 (2.3)	FILIP1L (2.2)	ENSG00000238018 (2.2)
A03.556.249.249	Intestine  Large	Digestive System	Gastrointestinal Tract	0.17	>=0.20	MUC13 (3.5)	CLDN3 (2.7)	ABHD11 (2.1)	CLDN4 (2.0)	ENSG00000256731 (1.3)	ZFP36L2 (1.3)	ENSG00000223842 (1.2)	UQCC (0.9)	CRISPLD2 (0.9)	PNPT1 (0.9)
A03.556.249.249.356	Colon	Digestive System	Gastrointestinal Tract	0.17	>=0.20	MUC13 (3.5)	CLDN3 (2.7)	ABHD11 (2.1)	CLDN4 (2.0)	ENSG00000256731 (1.3)	ZFP36L2 (1.3)	ENSG00000223842 (1.0)	PNPT1 (0.9)	UQCC (0.9)	CRISPLD2 (0.9)
A10.165.450.300.425	Keloid	Tissues	Connective Tissue	0.18	>=0.20	TWIST2 (4.7)	ADAMTS6 (3.7)	ELN (3.4)	COL8A1 (3.1)	CALD1 (2.7)	ENSG00000215231 (2.7)	LTBP1 (2.6)	MSRB3 (2.5)	SMURF2 (2.4)	CHIC2 (2.4)
A03.556.500.760	Salivary Glands	Digestive System	Gastrointestinal Tract	0.19	>=0.20	LMX1B (2.9)	FAM177B (2.7)	GDF5 (2.4)	POLN (2.4)	SLC22A3 (2.4)	ENSG00000256731 (2.0)	DUSP6 (2.0)	HMCN2 (1.9)	TSSK1B (1.9)	ENSG00000249521 (1.8)
A15.382.520.604.700	Spleen	Hemic and Immune Systems	Immune System	0.19	>=0.20	DMRT2 (1.7)	ZNF438 (1.6)	PRKCE (1.6)	WT1 (1.4)	THADA (1.4)	RNF4 (1.2)	YTHDC2 (1.1)	MLLT10 (1.1)	DUSP6 (1.0)	ADCY3 (1.0)
A10.615.550.599	Mouth Mucosa	Tissues	Membranes	0.20	>=0.20	FAM83B (4.3)	MAP2K4 (2.1)	MCC (1.8)	CLDN4 (1.4)	MFAP4 (1.4)	CSRP2 (1.3)	FTSJD1 (1.3)	SPSB1 (1.3)	LTBP4 (1.2)	TBC1D23 (1.2)
A03.556.875.500	Esophagus	Digestive System	Gastrointestinal Tract	0.20	>=0.20	CLDN4 (2.1)	MFAP4 (1.8)	ENSG00000254560 (1.6)	MUC13 (1.4)	CRISPLD2 (1.4)	ENSG00000256731 (1.4)	KIAA0907 (1.3)	CALD1 (1.2)	FILIP1L (1.2)	ABHD11 (1.2)
A03.556.124.526.767	Rectum	Digestive System	Gastrointestinal Tract	0.20	>=0.20	MUC13 (3.6)	ENSG00000223842 (2.7)	CLDN3 (2.7)	CLDN4 (2.1)	ABHD11 (2.0)	ZFP36L2 (1.5)	UQCC (1.4)	FAM177B (1.3)	HAND2 (1.2)	FILIP1L (1.2)
A03.556.875	Upper Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.21	>=0.20	MFAP4 (2.3)	LTBP4 (1.6)	CRISPLD2 (1.5)	DNAJC1 (1.3)	CALD1 (1.3)	CLDN4 (1.3)	FILIP1L (1.3)	KIAA0907 (1.3)	MUC13 (1.2)	PALLD (1.1)
A03.556.249.249.209	Cecum	Digestive System	Gastrointestinal Tract	0.21	>=0.20	MUC13 (3.7)	ABHD11 (2.9)	ENSG00000223842 (2.8)	CLDN3 (2.7)	CLDN4 (1.9)	MIA3 (1.7)	ENSG00000256731 (1.6)	ZFP36L2 (1.6)	ENSG00000254560 (1.4)	ADCY3 (1.4)
A10.690.552	Muscle  Striated	Tissues	Muscles	0.22	>=0.20	ENSG00000229619 (5.1)	FAF1 (4.0)	C6orf195 (3.7)	FILIP1L (3.3)	HMCN2 (3.2)	SLMAP (3.2)	UQCC (3.1)	ENSG00000256731 (2.8)	DMRT2 (2.7)	KY (2.4)
A10.690.552.500	Muscle  Skeletal	Tissues	Muscles	0.22	>=0.20	ENSG00000229619 (5.1)	FAF1 (4.0)	C6orf195 (3.7)	FILIP1L (3.3)	HMCN2 (3.2)	SLMAP (3.2)	UQCC (3.1)	ENSG00000256731 (2.8)	DMRT2 (2.7)	KY (2.4)
A03.556	Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.22	>=0.20	MUC13 (2.7)	CLDN3 (2.0)	CLDN4 (1.7)	ABHD11 (1.4)	ZFP36L2 (0.9)	ENSG00000256731 (0.9)	FAM83B (0.9)	SPATS2L (0.8)	CRISPLD2 (0.7)	MFAP4 (0.7)
