MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A10.690	Muscles	Tissues	Muscles	5.45e-03	<0.20	RAPSN (4.8)	ENSG00000229619 (4.1)	LINC00312 (3.3)	ACTRT2 (3.0)	FILIP1L (2.8)	SLMAP (2.6)	C6orf195 (2.6)	HMCN2 (2.5)	LMCD1 (2.4)	MSRB3 (2.2)
A02.835.583.443	Joint Capsule	Musculoskeletal System	Skeleton	7.11e-03	<0.20	BNC2 (2.5)	ADCY3 (2.4)	SMAD7 (2.3)	EBF2 (2.3)	SPSB1 (2.2)	LOX (2.1)	FBLN2 (2.0)	BMP2 (1.9)	THBS2 (1.8)	CDH11 (1.8)
A02.835.583	Joints	Musculoskeletal System	Skeleton	7.11e-03	<0.20	BNC2 (2.5)	ADCY3 (2.4)	SMAD7 (2.3)	EBF2 (2.3)	SPSB1 (2.2)	LOX (2.1)	FBLN2 (2.0)	BMP2 (1.9)	THBS2 (1.8)	CDH11 (1.8)
A02.835.583.443.800	Synovial Membrane	Musculoskeletal System	Skeleton	7.11e-03	<0.20	BNC2 (2.5)	ADCY3 (2.4)	SMAD7 (2.3)	EBF2 (2.3)	SPSB1 (2.2)	LOX (2.1)	FBLN2 (2.0)	BMP2 (1.9)	THBS2 (1.8)	CDH11 (1.8)
A11.329.830	Stromal Cells	Cells	Connective Tissue Cells	7.92e-03	<0.20	TWIST2 (3.8)	HMGA2 (3.7)	ADAMTS6 (3.3)	LOX (3.0)	LIMK1 (2.9)	COL8A1 (2.4)	SLC39A13 (2.4)	BNC2 (2.0)	WNT5A (2.0)	MSRB3 (2.0)
A14.549.167	Dentition	Stomatognathic System	Mouth	9.48e-03	<0.20	ENSG00000249082 (3.1)	C2orf54 (2.7)	PITX1 (2.4)	MCC (2.3)	WNT5A (1.8)	BMP2 (1.6)	PRRG4 (1.6)	FAM83B (1.6)	ENSG00000224186 (1.5)	DDB2 (1.4)
A07.541.358	Heart Atria	Cardiovascular System	Heart	9.54e-03	<0.20	MYBPC3 (6.6)	BMP5 (4.0)	SLMAP (4.0)	ADAMTSL3 (3.7)	HAND2 (3.4)	ZNF615 (3.1)	HP (2.8)	STAU2 (2.7)	ENSG00000238018 (2.7)	ENSG00000162997 (2.7)
A07.541.358.100	Atrial Appendage	Cardiovascular System	Heart	0.01	<0.20	MYBPC3 (6.5)	BMP5 (4.3)	SLMAP (4.2)	ADAMTSL3 (3.5)	HAND2 (3.5)	ZNF615 (3.3)	STAU2 (3.1)	HP (3.1)	ENSG00000162997 (3.0)	ENSG00000238018 (3.0)
A10.690.467	Muscle  Smooth	Tissues	Muscles	0.01	<0.20	ELN (4.1)	SLC39A13 (2.8)	MSRB3 (2.3)	HMGA2 (2.2)	LOX (2.0)	COL8A1 (1.9)	TGFB2 (1.9)	THBS2 (1.9)	BNC2 (1.9)	LTBP1 (1.8)
A10.615.550.599	Mouth Mucosa	Tissues	Membranes	0.01	<0.20	ENSG00000249082 (6.3)	C2orf54 (5.8)	PITX1 (4.6)	FAM83B (4.3)	PRRG4 (3.5)	SREK1IP1 (3.1)	BMP7 (2.3)	MAP2K4 (2.1)	ANKFN1 (2.0)	INADL (1.9)
A05.360.319.679.690	Myometrium	Urogenital System	Genitalia	0.02	<0.20	WT1 (4.4)	WT1-AS (4.0)	SLMAP (3.9)	IL17RD (3.6)	ENSG00000229619 (3.4)	BNC2 (3.1)	LTBP4 (2.9)	MFAP4 (2.5)	CRISPLD2 (2.3)	MSRB3 (2.2)
A11.872.190.260	Embryoid Bodies	Cells	Stem Cells	0.02	<0.20	TGFB2 (3.4)	ENSG00000247324 (3.0)	SLC39A13 (2.6)	LOX (2.6)	GATA4 (2.3)	ADAMTS6 (2.2)	WNT5A (2.2)	LINC00486 (1.9)	COL8A1 (1.8)	HMGA2 (1.8)
A07.541	Heart	Cardiovascular System	Heart	0.02	<0.20	MYBPC3 (5.9)	GATA4 (5.8)	SLMAP (4.5)	ADAMTSL3 (3.1)	LTBP4 (3.1)	LYPLAL1 (3.1)	DPF3 (2.7)	HP (2.7)	SPTBN1 (2.6)	ENSG00000254349 (2.6)
A10.690.552	Muscle  Striated	Tissues	Muscles	0.02	<0.20	RAPSN (6.9)	ENSG00000229619 (5.1)	LINC00312 (4.6)	ACTRT2 (3.7)	C6orf195 (3.7)	FILIP1L (3.3)	HMCN2 (3.2)	SLMAP (3.2)	NDUFS3 (3.1)	DPF3 (3.1)
A10.690.552.500	Muscle  Skeletal	Tissues	Muscles	0.02	<0.20	RAPSN (6.9)	ENSG00000229619 (5.1)	LINC00312 (4.6)	ACTRT2 (3.7)	C6orf195 (3.7)	FILIP1L (3.3)	HMCN2 (3.2)	SLMAP (3.2)	NDUFS3 (3.1)	DPF3 (3.1)
A05.360.319.114.373	Fallopian Tubes	Urogenital System	Genitalia	0.02	<0.20	WT1 (4.9)	WT1-AS (4.2)	MECOM (2.3)	C2orf63 (1.8)	ENSG00000254560 (1.8)	PNPT1 (1.6)	IL17RD (1.5)	IFT140 (1.5)	RPS27A (1.4)	CCDC104 (1.4)
A05.360	Genitalia	Urogenital System	Genitalia	0.02	<0.20	WT1 (2.1)	WT1-AS (1.5)	IL17RD (1.3)	C2orf63 (1.3)	IFT140 (1.2)	ZNF19 (1.1)	ENSG00000247225 (1.1)	CRISPLD2 (1.0)	MECOM (1.0)	CCDC104 (0.9)
A17.815	Skin	Integumentary System	Skin	0.02	<0.20	FAM83B (3.7)	C2orf54 (2.3)	SREK1IP1 (2.0)	MCC (1.9)	ANKFN1 (1.8)	FBLN2 (1.8)	PRRG4 (1.6)	MFAP4 (1.5)	THBS2 (1.5)	CRISPLD2 (1.4)
A02.633.567.850	Quadriceps Muscle	Musculoskeletal System	Muscles	0.02	<0.20	RAPSN (7.0)	ENSG00000229619 (5.2)	LINC00312 (4.7)	ACTRT2 (3.9)	C6orf195 (3.7)	FILIP1L (3.4)	HMCN2 (3.2)	DPF3 (3.2)	NDUFS3 (3.2)	SLMAP (3.1)
A10.165.114	Adipose Tissue	Tissues	Connective Tissue	0.02	<0.20	EBF2 (4.5)	CALB2 (3.2)	FBLN2 (2.9)	DMRT2 (2.9)	NR1H3 (2.9)	ENSG00000237887 (2.7)	SPTBN1 (2.4)	ATXN1L (2.4)	LINC00312 (2.3)	MFAP4 (2.2)
A05.360.319	Genitalia  Female	Urogenital System	Genitalia	0.03	<0.20	WT1 (2.9)	WT1-AS (2.4)	MECOM (1.5)	IL17RD (1.3)	IFT140 (1.1)	C2orf63 (1.1)	ENSG00000247225 (1.0)	WNT5A (0.9)	FNBP4 (0.9)	CCDC104 (0.9)
A11.329.114	Adipocytes	Cells	Connective Tissue Cells	0.03	<0.20	ENSG00000228536 (4.4)	NR1H3 (3.0)	DMRT2 (2.7)	ENSG00000238018 (2.7)	TWIST2 (2.6)	HP (2.2)	EBF2 (2.0)	SPTBN1 (1.9)	FBLN2 (1.9)	CALB2 (1.9)
A07.541.560	Heart Ventricles	Cardiovascular System	Heart	0.03	<0.20	GATA4 (6.5)	MYBPC3 (6.3)	SLMAP (4.9)	LTBP4 (3.4)	LYPLAL1 (3.3)	DPF3 (3.1)	ENSG00000254349 (3.0)	ADAMTSL3 (3.0)	SPTBN1 (2.9)	HP (2.8)
A06.407.312	Gonads	Endocrine System	Endocrine Glands	0.03	<0.20	WT1 (3.6)	WT1-AS (3.1)	IFT140 (1.5)	MECOM (1.5)	C2orf63 (1.4)	IL17RD (1.4)	ENSG00000254560 (1.3)	KIAA0947 (1.1)	C8orf49 (1.1)	CCDC104 (1.0)
A05.360.319.114	Adnexa Uteri	Urogenital System	Genitalia	0.03	<0.20	WT1 (3.6)	WT1-AS (3.1)	MECOM (1.6)	IFT140 (1.5)	C2orf63 (1.4)	IL17RD (1.3)	ENSG00000254560 (1.3)	KIAA0947 (1.1)	CCDC104 (1.0)	FNBP4 (1.0)
A05.360.319.114.630	Ovary	Urogenital System	Genitalia	0.03	<0.20	WT1 (3.6)	WT1-AS (3.1)	MECOM (1.6)	IFT140 (1.5)	C2orf63 (1.4)	IL17RD (1.3)	ENSG00000254560 (1.3)	KIAA0947 (1.1)	CCDC104 (1.0)	FNBP4 (1.0)
A10.615	Membranes	Tissues	Membranes	0.03	<0.20	MARVELD3 (1.9)	ENSG00000249082 (1.5)	SLC22A18AS (1.5)	PRRG4 (1.5)	PITX1 (1.4)	C2orf54 (1.4)	B4GALNT3 (1.4)	AGBL2 (1.4)	MECOM (1.3)	DNAH12 (1.3)
A10.165.114.830	Adipose Tissue  White	Tissues	Connective Tissue	0.04	<0.20	EBF2 (4.5)	CALB2 (3.4)	DMRT2 (3.3)	FBLN2 (3.1)	NR1H3 (3.0)	ENSG00000237887 (2.9)	ATXN1L (2.7)	SPTBN1 (2.7)	LINC00312 (2.5)	MFAP4 (2.3)
A10.165.114.830.750	Subcutaneous Fat	Tissues	Connective Tissue	0.04	<0.20	EBF2 (4.5)	CALB2 (3.4)	DMRT2 (3.3)	FBLN2 (3.1)	NR1H3 (3.0)	ENSG00000237887 (2.9)	ATXN1L (2.7)	SPTBN1 (2.7)	LINC00312 (2.5)	MFAP4 (2.3)
A02.835.232.834.151	Cervical Vertebrae	Musculoskeletal System	Skeleton	0.04	<0.20	CWC27 (1.7)	IL17RD (1.5)	C2orf63 (1.4)	BNC2 (1.4)	CDCA2 (1.4)	HMGA2 (1.4)	RRP15 (1.3)	CENPO (1.3)	ZNF614 (1.2)	UHRF1 (1.2)
A05.810.890	Urinary Bladder	Urogenital System	Urinary Tract	0.04	<0.20	ENSG00000254560 (2.3)	MECOM (1.2)	BMP5 (1.2)	IFT140 (1.2)	BMP7 (1.2)	KIAA0947 (1.2)	BMP2 (1.2)	ZFP36L2 (1.1)	FAM83B (1.1)	THBS2 (1.1)
A11.329.629	Osteoblasts	Cells	Connective Tissue Cells	0.04	<0.20	CDH11 (2.9)	TGFB2 (2.9)	COL8A1 (2.8)	THBS2 (2.7)	SMAD7 (2.5)	LOX (2.5)	LTBP1 (2.3)	LMCD1 (2.3)	RTN4 (2.2)	EFEMP1 (2.2)
A02.835.232.834	Spine	Musculoskeletal System	Skeleton	0.04	<0.20	CWC27 (1.7)	IL17RD (1.5)	C2orf63 (1.4)	BNC2 (1.4)	CDCA2 (1.4)	HMGA2 (1.4)	RRP15 (1.3)	CENPO (1.3)	UHRF1 (1.2)	ZNF614 (1.2)
A14.549	Mouth	Stomatognathic System	Mouth	0.05	>=0.20	ENSG00000249082 (4.3)	C2orf54 (3.8)	PITX1 (3.2)	PRRG4 (2.6)	FAM83B (2.5)	SREK1IP1 (1.7)	ENSG00000224186 (1.6)	RNU6-64 (1.6)	MCC (1.4)	BMP7 (1.4)
A03.556.875.500	Esophagus	Digestive System	Gastrointestinal Tract	0.05	>=0.20	C2orf54 (2.4)	MFAP4 (1.8)	PITX1 (1.8)	MECOM (1.7)	ENSG00000254560 (1.6)	B4GALNT3 (1.6)	PRRG4 (1.5)	CRISPLD2 (1.4)	FNBP4 (1.3)	FILIP1L (1.2)
A05.360.319.887	Vulva	Urogenital System	Genitalia	0.05	>=0.20	FAM83B (2.7)	PRRG4 (2.7)	SREK1IP1 (1.8)	LTBP4 (1.7)	MCC (1.6)	MFAP4 (1.6)	C2orf54 (1.5)	CRISPLD2 (1.4)	FBLN2 (1.4)	THBS2 (1.4)
A06.407	Endocrine Glands	Endocrine System	Endocrine Glands	0.05	>=0.20	WT1 (2.7)	WT1-AS (2.3)	IFT140 (1.4)	C2orf63 (1.3)	MECOM (1.1)	IL17RD (1.1)	KIAA0947 (1.0)	ENSG00000254560 (1.0)	CCDC104 (1.0)	AIG1 (0.9)
A10.165.114.830.500	Abdominal Fat	Tissues	Connective Tissue	0.05	>=0.20	EBF2 (4.3)	CALB2 (3.7)	NR1H3 (3.4)	DMRT2 (3.2)	FBLN2 (3.0)	ENSG00000237887 (2.9)	SPTBN1 (2.9)	ATXN1L (2.8)	ENSG00000228536 (2.4)	LINC00312 (2.4)
A10.165.114.830.500.750	Subcutaneous Fat  Abdominal	Tissues	Connective Tissue	0.05	>=0.20	EBF2 (4.3)	CALB2 (3.7)	NR1H3 (3.4)	DMRT2 (3.2)	FBLN2 (3.0)	ENSG00000237887 (2.9)	SPTBN1 (2.9)	ATXN1L (2.8)	ENSG00000228536 (2.4)	LINC00312 (2.4)
A11.620	Muscle Cells	Cells	Muscle Cells	0.06	>=0.20	ELN (5.6)	SLC39A13 (3.4)	HMGA2 (3.4)	LOX (2.8)	COL8A1 (2.7)	SMAD3 (2.6)	GATA4 (2.5)	EBF2 (2.3)	MSRB3 (2.3)	TGFB2 (2.2)
A11.620.520	Myocytes  Smooth Muscle	Cells	Muscle Cells	0.06	>=0.20	ELN (5.6)	SLC39A13 (3.4)	HMGA2 (3.4)	LOX (2.8)	COL8A1 (2.7)	SMAD3 (2.6)	GATA4 (2.5)	EBF2 (2.3)	MSRB3 (2.3)	TGFB2 (2.2)
A15.145.846	Serum	Hemic and Immune Systems	Blood	0.06	>=0.20	HMGA2 (2.9)	SLC39A13 (2.5)	LOX (2.4)	SMAD3 (2.1)	BNC2 (1.8)	MSRB3 (1.8)	TWIST2 (1.8)	RXFP2 (1.8)	SPSB1 (1.8)	LIMK1 (1.7)
A14.549.167.646	Periodontium	Stomatognathic System	Mouth	0.06	>=0.20	ENSG00000249082 (5.2)	PITX1 (4.2)	C2orf54 (3.7)	PRRG4 (3.2)	MCC (2.7)	ENSG00000224186 (2.4)	HAND2 (2.4)	FAM83B (2.3)	BMP7 (2.2)	B4GALNT3 (2.2)
A05.360.319.679	Uterus	Urogenital System	Genitalia	0.07	>=0.20	WT1 (2.2)	WT1-AS (1.7)	ENSG00000247225 (1.5)	MECOM (1.5)	IL17RD (1.3)	WNT5A (1.3)	LTBP4 (1.1)	CRISPLD2 (1.1)	GPX7 (1.0)	CDH11 (0.9)
A03.556	Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.07	>=0.20	MARVELD3 (1.7)	SLC22A18AS (1.6)	B4GALNT3 (1.6)	MECOM (1.4)	BMP2 (1.1)	PRRG4 (1.0)	CDKN3 (0.9)	ZFP36L2 (0.9)	FAM83B (0.9)	MTCH2 (0.8)
A07.541.510	Heart Valves	Cardiovascular System	Heart	0.07	>=0.20	ADAMTSL3 (3.8)	C8orf49 (3.3)	FBLN2 (3.1)	LTBP1 (3.1)	GNRH1 (2.9)	EFEMP1 (2.3)	ENSG00000162997 (2.3)	MECOM (2.3)	ENSG00000237887 (2.3)	TMEM204 (2.3)
A07.541.510.110	Aortic Valve	Cardiovascular System	Heart	0.07	>=0.20	ADAMTSL3 (3.8)	C8orf49 (3.3)	FBLN2 (3.1)	LTBP1 (3.1)	GNRH1 (2.9)	EFEMP1 (2.3)	ENSG00000162997 (2.3)	MECOM (2.3)	ENSG00000237887 (2.3)	TMEM204 (2.3)
A05.360.444	Genitalia  Male	Urogenital System	Genitalia	0.10	>=0.20	ZNF613 (4.0)	NEIL2 (3.3)	ZNF615 (3.0)	ZNF614 (2.8)	ZNF19 (2.7)	ZNF350 (2.4)	DNAJC27-AS1 (2.3)	ENSG00000226491 (2.3)	TLK2 (1.9)	BMP5 (1.9)
A11.872	Stem Cells	Cells	Stem Cells	0.10	>=0.20	CDCA2 (1.6)	CENPO (1.5)	CWC27 (1.4)	UHRF1 (1.3)	ZNF614 (1.3)	RRP15 (1.3)	PNPT1 (1.3)	C2orf63 (1.2)	CDKN3 (1.2)	DHODH (1.2)
A04.411	Lung	Respiratory System	Lung	0.10	>=0.20	BMP5 (2.1)	PTRHD1 (1.0)	SRFBP1 (0.9)	CAV2 (0.9)	MECOM (0.9)	CDKN3 (0.8)	UHRF1 (0.8)	MFAP4 (0.8)	BMP2 (0.8)	NR1H3 (0.7)
A03.556.124.526.767	Rectum	Digestive System	Gastrointestinal Tract	0.11	>=0.20	ENSG00000223842 (2.7)	B4GALNT3 (2.1)	SLC22A18AS (2.1)	MECOM (1.7)	ZFP36L2 (1.5)	MARVELD3 (1.4)	DNAJC27-AS1 (1.2)	HAND2 (1.2)	FILIP1L (1.2)	CRISPLD2 (1.1)
A07.231	Blood Vessels	Cardiovascular System	Blood Vessels	0.11	>=0.20	ADAMTS6 (2.4)	SMAD3 (2.2)	SLC39A13 (2.2)	COL8A1 (2.1)	BMP2 (2.0)	EFEMP1 (2.0)	SPSB1 (1.8)	CCDC85A (1.7)	HMGA2 (1.6)	MSRB3 (1.6)
A03.556.875	Upper Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.12	>=0.20	MFAP4 (2.3)	ENSG00000177133 (2.2)	MECOM (2.0)	LTBP4 (1.6)	CRISPLD2 (1.5)	B4GALNT3 (1.4)	FILIP1L (1.3)	ADAMTSL3 (1.3)	FNBP4 (1.3)	LTBP1 (1.1)
A03.556.249	Lower Gastrointestinal Tract	Digestive System	Gastrointestinal Tract	0.12	>=0.20	SLC22A18AS (1.9)	MECOM (1.7)	MARVELD3 (1.6)	B4GALNT3 (1.6)	ZFP36L2 (1.3)	CDKN3 (1.2)	ENSG00000223842 (1.2)	CRISPLD2 (0.9)	BMP2 (0.9)	UHRF1 (0.9)
A03.556.249.249	Intestine  Large	Digestive System	Gastrointestinal Tract	0.12	>=0.20	SLC22A18AS (1.9)	MECOM (1.7)	MARVELD3 (1.7)	B4GALNT3 (1.6)	CDKN3 (1.3)	ZFP36L2 (1.3)	ENSG00000223842 (1.2)	UHRF1 (0.9)	CRISPLD2 (0.9)	BMP2 (0.9)
A03.556.249.249.356	Colon	Digestive System	Gastrointestinal Tract	0.12	>=0.20	SLC22A18AS (1.9)	MECOM (1.7)	MARVELD3 (1.7)	B4GALNT3 (1.6)	CDKN3 (1.3)	ZFP36L2 (1.3)	ENSG00000223842 (1.0)	UHRF1 (1.0)	PNPT1 (0.9)	MTCH2 (0.9)
A11.627.340.360	Granulocyte Precursor Cells	Cells	Myeloid Cells	0.12	>=0.20	ENSG00000247225 (4.6)	PROK2 (3.5)	C6orf195 (3.5)	TELO2 (2.9)	HP (2.7)	CENPO (2.5)	UHRF1 (2.4)	CCDC66 (2.3)	STAU2 (2.3)	CDCA2 (2.2)
A10.272.497	Epidermis	Tissues	Epithelium	0.13	>=0.20	C2orf54 (6.3)	ANKFN1 (5.8)	BMP7 (3.2)	FAM83B (3.1)	INADL (3.0)	MCC (2.8)	ENSG00000245954 (2.7)	GNRH1 (2.6)	PRRG4 (2.4)	ENSG00000244535 (2.3)
A10.165.450	Granulation Tissue	Tissues	Connective Tissue	0.13	>=0.20	TWIST2 (5.2)	ADAMTS6 (3.5)	COL8A1 (3.3)	EFR3B (3.2)	RXFP2 (3.1)	LOX (3.1)	ELN (3.0)	ENSG00000247324 (3.0)	CDH11 (3.0)	WNT5A (2.7)
A10.165.450.300	Cicatrix	Tissues	Connective Tissue	0.13	>=0.20	TWIST2 (5.2)	ADAMTS6 (3.5)	COL8A1 (3.3)	EFR3B (3.2)	RXFP2 (3.1)	LOX (3.1)	ELN (3.0)	ENSG00000247324 (3.0)	CDH11 (3.0)	WNT5A (2.7)
A11.329	Connective Tissue Cells	Cells	Connective Tissue Cells	0.13	>=0.20	TWIST2 (1.9)	LIMK1 (1.6)	NR1H3 (1.5)	PTPMT1 (1.4)	CSGALNACT2 (1.4)	ZNF438 (1.3)	SPATA12 (1.3)	CCDC88A (1.3)	SLC39A13 (1.2)	SMAD7 (1.2)
A05.810.453.324	Kidney Cortex	Urogenital System	Urinary Tract	0.13	>=0.20	HMGA2 (3.2)	ADAMTSL3 (2.6)	ENSG00000247225 (2.3)	RNU6-64 (2.2)	DNAJC27-AS1 (2.0)	TGFB2 (2.0)	BNC2 (1.9)	DDB2 (1.9)	ACTRT2 (1.9)	ATXN1L (1.8)
A03.734	Pancreas	Digestive System	Pancreas	0.13	>=0.20	CHST4 (2.3)	CRISPLD2 (1.2)	BMP2 (1.1)	MECOM (1.0)	GATA4 (1.0)	ADAMTSL3 (0.9)	MFAP4 (0.9)	HAND2 (0.9)	MARVELD3 (0.9)	FILIP1L (0.9)
A03.556.249.124	Ileum	Digestive System	Gastrointestinal Tract	0.14	>=0.20	BMP5 (2.7)	LTBP4 (2.7)	ZFP36L2 (2.1)	BMP2 (1.8)	HMCN2 (1.8)	ENSG00000226491 (1.7)	MARVELD3 (1.7)	TSSK1B (1.6)	NR1H3 (1.4)	MFAP4 (1.4)
A10.615.550	Mucous Membrane	Tissues	Membranes	0.14	>=0.20	MARVELD3 (2.4)	SLC22A18AS (2.0)	PRRG4 (1.9)	B4GALNT3 (1.9)	C2orf54 (1.9)	ENSG00000249082 (1.8)	FAM83B (1.7)	AGBL2 (1.7)	MECOM (1.6)	DNAH12 (1.6)
A03.556.124	Intestines	Digestive System	Gastrointestinal Tract	0.15	>=0.20	SLC22A18AS (2.3)	MARVELD3 (2.0)	MECOM (1.7)	B4GALNT3 (1.7)	CDKN3 (1.2)	BMP2 (1.1)	ZFP36L2 (1.1)	MTCH2 (0.9)	ENSG00000223842 (0.9)	BMP5 (0.9)
A05.360.319.679.490	Endometrium	Urogenital System	Genitalia	0.15	>=0.20	WT1 (2.6)	ENSG00000247225 (2.2)	WT1-AS (1.7)	WNT5A (1.6)	MECOM (1.6)	GPX7 (1.3)	LTBP4 (1.3)	ANKFN1 (1.3)	AGBL2 (1.3)	IL17RD (1.2)
A03.556.249.249.356.668	Colon  Sigmoid	Digestive System	Gastrointestinal Tract	0.15	>=0.20	SLC22A18AS (2.7)	ENSG00000223842 (2.2)	B4GALNT3 (2.1)	MECOM (2.1)	MARVELD3 (1.8)	ZFP36L2 (1.4)	BMP2 (1.3)	KIAA0947 (1.1)	PMFBP1 (1.1)	TAT (0.9)
A10.165.450.300.425	Keloid	Tissues	Connective Tissue	0.15	>=0.20	TWIST2 (4.7)	ADAMTS6 (3.7)	ELN (3.4)	LINC00486 (3.3)	EFR3B (3.2)	COL8A1 (3.1)	LOX (3.1)	CDH11 (3.0)	ENSG00000247324 (2.9)	WNT5A (2.7)
A05.360.319.679.256	Cervix Uteri	Urogenital System	Genitalia	0.16	>=0.20	ENSG00000223842 (2.3)	UHRF1 (1.5)	ADCY3 (1.3)	KIAA0947 (1.2)	PRRG4 (1.2)	THBS2 (1.1)	MECOM (1.0)	PITX1 (1.0)	FAM83B (1.0)	CDKN3 (0.9)
A05.810	Urinary Tract	Urogenital System	Urinary Tract	0.19	>=0.20	ENSG00000247225 (3.6)	AIG1 (2.7)	ENSG00000177133 (2.2)	ENSG00000226491 (1.8)	ADAMTS16 (1.6)	LYPLAL1 (1.5)	DMRT2 (1.5)	KIAA0947 (1.2)	MECOM (1.2)	ZNF615 (1.1)
A10.336.707	Prostate	Tissues	Exocrine Glands	0.19	>=0.20	ZNF613 (5.5)	ZNF615 (3.8)	NEIL2 (3.8)	ZNF614 (3.4)	DNAJC27-AS1 (3.4)	ZNF350 (3.2)	ZNF19 (3.0)	ENSG00000226491 (2.6)	BMP5 (2.4)	TGFB2 (2.1)
A03.556.875.875	Stomach	Digestive System	Gastrointestinal Tract	0.20	>=0.20	ENSG00000177133 (3.4)	MFAP4 (2.5)	MECOM (2.3)	LTBP4 (1.9)	ADAMTSL3 (1.6)	CRISPLD2 (1.6)	B4GALNT3 (1.4)	FILIP1L (1.3)	FNBP4 (1.3)	LTBP1 (1.2)
A03.734.414	Islets of Langerhans	Digestive System	Pancreas	0.20	>=0.20	FAM83B (3.2)	SEMA3A (2.1)	HMGA2 (2.0)	TGFB2 (1.9)	CDKN3 (1.9)	RPS27A (1.8)	CDCA2 (1.7)	SMAD3 (1.7)	ENSG00000254560 (1.7)	SRFBP1 (1.6)
